,command_at_incident,complaint_id
313,001 DET,2
314,CENROBB,2
315,ESS 04,2
316,DB CRD,2
317,C C SQD,2
318,FOR INV,2
319,DB MSVS,2
320,D C P I,2
321,DBMN,2
322,114 DET,2
323,060 DET,2
324,ESS 09,2
325,107 DET,2
326,FLT SVC,2
327,BKROBSQ,2
328,023 DET,1
329,TB C/AN,1
330,CA SECT,1
331,SRG 4,1
332,BX CT,1
333,048 DET,1
334,BK SVS,1
335,BK IMP,1
336,COMMSEC,1
337,084 DET,1
338,A P DIV,1
339,122 DET,1
340,006 DET,1
341,TD DT01,1
342,POL ACD,1
343,CPK DET,1
344,026 DET,1
345,F.T.S.,1
346,ESS 06,1
347,DBQS OP,1
348,DBM ZN2,1
349,068 DET,1
350,ND NMI,1
351,070 DET,1
352,O C I D,1
353,OMAP,1
354,DB BX,1
355,DB BSVS,1
356,032 DET,1
357,PBQS SC,1
358,DA QNS,1
359,028 DET,1
360,GANG DV,1
