command_at_incident,command_fullname,zipcode,complaint_id
PBMS SU,Patrol Borough Manhattan South Specialized Units,,15
ND CH I,,,14
PBBN SC,,,14
075 DET,075 Detective Squad,,14
SATNOPS,,,14
073 DET,073 Detective Squad,,14
QS IRT,,,14
034 DET,034 Detective Squad,,13
BS IRT,,,13
ND SEQI,,,13
DB GLD,Detective Bureau Grand Larceny Division,,12
SRG 3,Strategic Response Group 3,,12
071 DET,071 Detective Squad,,12
E S U,Emergency Service Unit,,12
081 DET,081 Detective Squad,,12
TB Q/TF,,,12
043 DET,043 Detective Squad,,12
PBQN AC,,,12
DBMN OP,Detective Borough Manhattan North Operations,,12
PA UPTU,Uniformed Promotions Training Unit,,11
PBMN SU,Patrol Borough Manhattan North Specialized Units,,11
GVSD Z1,Gun Violence Suppression Division Zone 01,,11
TB BXTF,,,11
H BX/Q,Housing Bronx/Queens,,11
M/S-ND,,,11
BKLN CT,Brooklyn Court Section,,10
AUTO CD,,,10
088 DET,088 Detective Squad,,10
046 DET,046 Detective Squad,,10
JUV CRM,Juvenile Crime Section,,10
GANG SI,Gang Squad Staten Island,,10
TB ATU,Transit Bureau Anti-Terrorism Unit,,9
PBQS AC,,,9
TB DT11,Transit Bureau District 11,,9
067 DET,067 Detective Squad,,9
B/S-WND,,,9
JT T/F,Joint Terrorism Task Force,,8
079 DET,079 Detective Squad,,8
SS DIV,School Safety Division,,8
PBSI AC,,,8
Q/N-ND,,,8
042 DET,042 Detective Squad,,8
HWY DST,Transportation Bureau Highway District,,8
VE BSSI,,,8
QB SSZN,School Safety Queens Brooklyn Staten Island Zone,,8
SRG 5,Strategic Response Group 5,,8
HWY 05,Highway Unit 05,,8
I.A.B.,Internal Affairs Bureau,,8
HBX/QIM,,,8
063 DET,063 Detective Squad,,8
ND BXCI,,,8
045 DET,045 Detective Squad,,8
MTS DET,Midtown South Detective Squad,,8
TB BKTF,Transit Bureau Borough Brooklyn Task Force,,8
013 DET,013 Detective Squad,,8
ESS 05,Emergency Service Squad 05,,8
DB HATE,Detective Bureau Hate Crimes Task Force,,8
040 DET,040 Detective Squad,,7
PBQN SU,Patrol Borough Queens North Specialized Units,,7
PBQNT/F,,,7
ESS 03,Emergency Service Squad 03,,7
DB CEIS,Organized Crime Investigation Division,,7
SOD T/U,,,7
M E L D,Military and Extended Leave Desk,,7
GVS DIV,,,7
SIHU,,,7
B/S-END,,,6
090 DET,090 Detective Squad,,6
094 DET,094 Detective Squad,,6
TD DT33,,,6
QS GANG,,,6
ESS 01,Emergency Service Squad 01,,6
041 DET,041 Detective Squad,,6
VED BX,,,6
PBQST/F,,,6
123 DET,123 Detective Squad,,6
VICE ED,,,5
VED ZN1,,,5
MTN DET,Midtown North Detective Squad,,5
DB BXHM,Detective Borough Bronx Homicide Squad,,5
ESS 08,Emergency Service Squad 08,,5
LDS TRN,Leadership Training Section,,5
120 DET,120 Detective Squad,,5
TD DT12,,,5
TD DT11,,,5
TB DT23,Transit Bureau District 23,,5
TB SOD,Transit Bureau Special Operations District,,5
HBXQ RT,,,5
REC TNG,Recruit Training Section,,5
P C O,Police Commissioner Office,,5
050 DET,050 Detective Squad,,4
020 DET,020 Detective Squad,,4
030 DET,030 Detective Squad,,4
007 DET,007 Detective Squad,,4
WTC CMD,World Trade Center Command,,4
100 DET,100 Detective Squad,,4
INT OAS,Intelligence Operations and Analysis Section,,4
Q SVS,Queens Special Victims Squad,,4
DB SVD,Detective Bureau Special Victims Division,,4
QS NARC,,,4
SI IRT,Staten Island Impact Response Team,,4
DBBX OP,,,4
M/S-DND,,,4
ESS 02,Emergency Service Squad 02,,4
BUS UT,Bus Unit,,4
TD DT02,,,4
TD DT32,,,4
109 DET,109 Detective Squad,,4
VED ZN2,,,4
052 DET,052 Detective Squad,,3
PBMS SC,,,3
INT UOU,INT UOU,,3
LIC DIV,License Division,,3
ESU CAN,Emergency Service Unit Canine Team,,3
GVSD Z2,Gun Violence Suppression Division Zone 02,,3
MC/SQD,Major Case Squad,,3
DB FCTF,Detective Bureau Financial Crimes Task Force,,3
ND Q/NI,,,3
PBSI SU,Patrol Borough Staten Island Specialized Units,,3
GANG QN,Gang Squad Queens North,,3
TB H/O,,,3
VED Q,,,3
D-E T/F,Drug Enforcement Task Force,,3
VE BK/N,,,3
010 DET,010 Detective Squad,,3
C R C,Critical Response Command,,3
SP FRDS,Special Fraud Squad,,3
BX/N-ND,,,3
HQ SEC,Headquarters Security,,2
HWY 04,Highway Unit 04,,2
INT EPU,INT EPU,,2
PBBS SC,,,2
044 DET,044 Detective Squad,,2
TB CAN,Transit Bureau Canine Unit,,2
PB EMD,Patrol Bureau Employee Management Division,,2
QNS CT,Queens Court Section,,2
QNROBSQ,Queens Robbery Squad,,2
MED DIV,Medical Division,,2
102 DET,102 Detective Squad,,2
T.A.R.U,Technical Assistance and Response Unit,,2
001 DET,001 Detective Squad,,2
CENROBB,,,2
ESS 04,Emergency Service Squad 04,,2
DB CRD,Detective Bureau Central Robbery Division,,2
C C SQD,C C SQD,,2
FOR INV,,,2
DB MSVS,,,2
D C P I,Deputy Commissioner of Public Information,,2
DBMN,Detective Borough Manhattan North,,2
114 DET,114 Detective Squad,,2
060 DET,060 Detective Squad,,2
ESS 09,Emergency Service Squad 09,,2
107 DET,107 Detective Squad,,2
FLT SVC,Fleet Services Division,,2
BKROBSQ,Brooklyn Robbery Squad,,2
023 DET,023 Detective Squad,,1
TB C/AN,Transit Bureau Crime Analysis,,1
CA SECT,,,1
SRG 4,Strategic Response Group 4,,1
BX CT,Bronx Court Section,,1
048 DET,048 Detective Squad,,1
BK SVS,Detective Bureau Brooklyn Special Victims Squad,,1
BK IMP,,,1
COMMSEC,,,1
084 DET,084 Detective Squad,,1
A P DIV,Applicant Processing Division,,1
122 DET,122 Detective Squad,,1
006 DET,006 Detective Squad,,1
TD DT01,,,1
POL ACD,Police Academy Payroll and Roll Call,,1
CPK DET,Central Park Detective Squad,,1
026 DET,026 Detective Squad,,1
F.T.S.,Firearms and Tactics Section,,1
ESS 06,Emergency Service Squad 06,,1
DBQS OP,Detective Borough Queens South Operations,,1
